title;link;usd_price;grn_price;place
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1884998.html;26 052 $;925 120 грн;Ужгород
Prestige+ 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884981.html;52 620 $;1 868 530 грн;Ужгород
Premium 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1884948.html;33 263 $;1 181 180 грн;Ужгород
Prestige 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884971.html;42 825 $;1 520 725 грн;Ужгород
Elegance 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1884947.html;27 166 $;964 650 грн;Ужгород
Lounge 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1885007.html;31 427 $;1 115 985 грн;Ужгород
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1884991.html;29 259 $;1 039 285 грн;Ужгород
Prestige+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884977.html;46 655 $;1 656 720 грн;Ужгород
Prestige+ 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884979.html;52 620 $;1 868 530 грн;Ужгород
Premium 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884967.html;52 150 $;1 852 895 грн;Ужгород
Prestige 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884972.html;42 825 $;1 520 725 грн;Ужгород
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1884992.html;28 777 $;1 021 880 грн;Ужгород
Premium 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1885009.html;34 892 $;1 239 000 грн;Ужгород
Prestige+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884975.html;46 589 $;1 656 720 грн;Ужгород
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1884989.html;29 267 $;1 039 285 грн;Ужгород
Prestige 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1884958.html;29 035 $;1 031 025 грн;Ужгород
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1884993.html;28 918 $;1 026 895 грн;Ужгород
Prestige 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884970.html;42 813 $;1 520 725 грн;Ужгород
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1884990.html;29 267 $;1 039 285 грн;Ужгород
Prestige+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884974.html;46 655 $;1 656 720 грн;Ужгород
Prestige+ 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884978.html;52 869 $;1 877 380 грн;Ужгород
Premium 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1884968.html;52 180 $;1 852 895 грн;Ужгород
Prestige 2.0 D-4D 8AT (177 к.с.) L1;https://auto.ria.com/newauto/auto-toyota-proace-verso-1884986.html;45 392 $;1 611 880 грн;Ужгород
Lounge 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1864449.html;31 640 $;1 123 551 грн;Львов
Elegance 2.8D AT (200 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1885731.html;44 994 $;1 597 720 грн;Львов
Live 1.6 MT (132 к.с.);https://auto.ria.com/newauto/auto-toyota-corolla-1886553.html;18 660 $;662 607 грн;Львов
GR Sport 3.5 AT (415 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-300-1882729.html;78 160 $;2 775 465 грн;Львов
Premium 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1878391.html;35 379 $;1 256 310 грн;Львов
Premium 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1880330.html;33 263 $;1 181 180 грн;Львов
Comfort 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1866636.html;25 493 $;905 256 грн;Львов
Business 1.6 D-4D 5MT (90 к.с.) L1;https://auto.ria.com/newauto/auto-toyota-proace-1883723.html;17 991 $;638 847 грн;Ивано-Франковск
Premium 3.5i Dual VVT-iW AT (249 к.с.) DTV AWD-S;https://auto.ria.com/newauto/auto-toyota-highlander-1883227.html;51 548 $;1 830 475 грн;Ивано-Франковск
Comfort+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1886513.html;39 729 $;1 410 761 грн;Ивано-Франковск
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1885153.html;26 722 $;948 915 грн;Ивано-Франковск
Premium 2.5h e-CVT (243 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-highlander-1886413.html;57 440 $;2 039 680 грн;Днепр (Днепропетровск)
Active 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1861384.html;26 271 $;932 877 грн;Днепр (Днепропетровск)
Active 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1861002.html;29 014 $;1 030 293 грн;Днепр (Днепропетровск)
Lounge 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1885152.html;31 640 $;1 123 551 грн;Ивано-Франковск
Business 1.5 D-4D MT (102 к.с.) L1;https://auto.ria.com/newauto/auto-toyota-proace-city-1886619.html;17 773 $;631 128 грн;Днепр (Днепропетровск)
Premium 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1865709.html;35 128 $;1 247 400 грн;Днепр (Днепропетровск)
Premium 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1863012.html;33 782 $;1 199 583 грн;Днепр (Днепропетровск)
Comfort 2.4 D-4D MT (150 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-hilux-1852449.html;40 015 $;1 420 920 грн;Днепр (Днепропетровск)
Comfort 2.5 D-4S АТ (207 к.с.);https://auto.ria.com/newauto/auto-toyota-camry-1860881.html;25 535 $;906 741 грн;Днепр (Днепропетровск)
Premium 3.5i Dual VVT-iW AT (249 к.с.) DTV AWD-S;https://auto.ria.com/newauto/auto-toyota-highlander-1859431.html;51 939 $;1 844 370 грн;Днепр (Днепропетровск)
Live 2.0 Dual VVT-i CVT (173 к.с.);https://auto.ria.com/newauto/auto-toyota-rav4-1861386.html;24 740 $;878 526 грн;Днепр (Днепропетровск)
Comfort+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1845951.html;39 469 $;1 401 543 грн;Днепр (Днепропетровск)
Prestige+ 4.0 Dual VVT-i AT (282 к.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1851334.html;47 515 $;1 687 257 грн;Днепр (Днепропетровск)
Lounge 2.0 Dual VVT-i CVT (173 к.с.) AWD;https://auto.ria.com/newauto/auto-toyota-rav4-1851343.html;31 933 $;1 133 946 грн;Днепр (Днепропетровск)
